revolutionary   adj.革命的
revolve   v.旋转，绕行
reward   n.报酬，酬金，报答
rewarding   adj.有收获的
rheumatism   n.风湿病
rhyme   n.韵，脚韵
rhythm   n.韵律，节奏
rib   n.肋，肋骨
ribbon   n.带子，缎带
rice   n.稻子，大米，米饭
rich   adj.富的，富饶的
richness   n.富饶，富有
rid   v.使摆脱，使除去
riddle   n.谜语，谜
ride   v.乘坐，骑 n.乘车
ridge   n.山脉，岭，屋脊
ridicule   n.,v.嘲笑，挖苦
rediculous   adj.可笑的，荒谬的
rifle   n.步枪，来福枪
right   adj.正确的，右的
righteous   adj.正直的，公正的
rigid   adj.僵硬的，严厉的
rigidity   adj.僵硬，严厉，死板
rigor   n.严格，严肃
rigorous   adj.严厉的，酷热的
rim   n.边缘，眼镜架
ring   v.鸣，打铃，打电话
rinse   v.漂洗，润丝
riot   n.,v.骚乱，闹事
riotous   adj.骚乱的，喧扰的
rip   v.撕破，扯碎
ripe   adj.熟的，成熟的
ripen   v.成熟，变热
ripple   n.波纹，涟漪
rise   v.起立，晋级，增长
risk   n.,v.冒险，风险
risky   adj.有风险的，冒险的
rival   n.对手 adj.竞争的
rivalry   n.竞争，对抗
river   n.河，江
road   n.道路，路
roam   v.漫步，漫游
roar   v.,n.吼，怒号，轰鸣
roast   v.烤，炙 adj.烘烤的
rob   v.抢劫，偷
robber   n.强盗
robbery   n.抢劫(案)
robe   n.长袍
robot   n.机器人
robust   adj.强壮的，粗壮的
rock   n.岩石 v.摇摆，摇晃
rock-bottom   n.adj.(价格)最低(的)
rocket   n.火箭
rod   n.小棒，竿
role   n.角色，作用
roll   v.滚，卷，转动，压平
roller   n.滚筒，压路机
roman   adj.古罗马的n.罗马人
romance   n.浪漫文学，浪漫故事
romantic   adj.浪漫的，好幻想的
romanticism   n.浪漫主义
rome   n.罗马
roof   n.屋顶
room   n.房间，室，空间
rooster   n.公鸡
root   n.根，根源
rope   n.绳，索
rose   n.玫瑰，蔷薇
rosy   adj.玫瑰红的，幻想的
rot   v.腐烂，枯朽
rotary   adj.旋转的
rotate   v.旋转，循环，转流
rotation   n.旋转，更替
rotten   adj.腐烂的，发臭的
rough   adj.粗糙的，粗野的
roughly   adv.大约地，粗略地
round   adj.圆形的adv.在周围
roundabout   adj.迂回的，转弯抹角
rouse   v.唤醒，惊起
route   n.路线，航线
routine   n.日常事务
row   v.划船 n.排，列
royal   adj.王室的，皇家的
royalty   n.皇家，皇族
rub   v.擦，摩擦，涂抹
rubber   n.橡胶，橡皮
rubbish   n.垃圾，废物，废话
rude   adj.粗鲁的，下流的
rug   n.小块地毯
ruin   n.废墟 v.毁坏，破坏
ruinous   adj.毁灭性的
rule   n.法规，常规，统治
ruler   n.统治者，直尺
ruling   adj.统治的
rumor   n.,v.传闻，谣言
run   v.跑，竞选，行驶
runner   n.奔跑者，赛跑运动员
running   adj.连续的 n.经营
rural   adj.农村的
rush   v.,n.冲，冲进
russia   n.俄罗斯，俄语
russian   n.,adj.俄国(人)的
rust   n.锈 v.生锈，衰退
rusty   adj.生锈的
ruthless   adj.无情的，冷酷的
