slowly   adj.慢慢地
slum   n.贫民窟
slumber   n.睡眠，微睡
slump   n.暴跌，不景气
sly   adj.狡猾的
smack   n.滋味 v.劈啪地响
small   adj.小的，不重要的
smart   adj.聪明的，漂亮的
smash   v.打破，粉碎，猛撞
smell   v.嗅,发出气味 n.气味
smile   v.,n.微笑
smog   n.烟雾
smoke   v.冒烟，抽烟 n.烟
smoker   n.抽烟者
smoking   n.抽烟
smooth   adj.平稳的，光滑的
smoothly   adv.顺利地，安稳地
smuggle   v.走私，夹带
smuggler   n.走私者
smuggling   n.走私
snack   n.快餐，小吃
snail   n.蜗牛
snake   n.蛇
snap   v.,n.折断(声)
snatch   v.,n.抢夺，攫取
sneak   v.偷偷地逃走、做
sneakers   n.旅游鞋
sneer   v.,n.嘲笑，讥笑
sneeze   v.打喷嚏
sniff   v.嗅，闻
snob   n.势利小人
snobbery   n.势利
snobbish   adj.势利的
snore   v.打鼾
snow   n.雪 v.下雪
snowman   n.雪人
snowstorm   n.暴风雪
snowy   adj.有雪的，下雪的
so   adv.这样，也一样
soak   v.浸，吸水，湿透
soap   n.肥皂
soar   v.急速上升，暴涨
sob   v.,n.呜咽，啜泣
sober   adj.清醒的，冷静的
so-called   adj.所谓的
soccer   n.足球
sociable   adj.善交际的，社交的
social   adj.社会的，社会性的
socialism   n.社会主义
socialist   n.adj.社会主义者、的
society   n.社会，协会，社交界
sociologist   n.社会学家
sociology   n.社会学
sock   n.短袜
soda   n.苏打，碱，苏打水
sodium   n.钠
sofa   n.沙发，软椅
soft   adj.柔软的，温和的
soften   v.使柔软，变软
softly   adv.柔软地，温和地
softness   n.柔软，温和
software   n.软件
soil   n.土壤，国土，污秽
solar   adj.太阳的
soldier   n.士兵，兵
sole   adj.唯一的，单独的
solely   adv.唯一地，只
solemn   adj.正式的，严肃的
solicitor   n.律师
solid   adj.固体的，牢固的
solidarity   n.团结
solitary   adj.独自的，孤独的
solitude   n.寂寞，独居
solo   n.独唱，独奏
solution   n.解决，溶液
solve   v.解答，溶解
solvency   n.偿付能力
solvent   adj.有偿付能力的
some   adj.若干，某一
somebody   pron.某人，重要人物
somehow   adv.以某种方式
someone   pron.有人，某人
something   pron.某事，某物
sometime   adv.日后，曾经
sometimes   adv.有时，不时
somewhat   adv.稍微，有点
somewhere   adv.某地，到某处
son   n.儿子
song   n.歌，歌词，鸟鸣
son-in-law   n.女婿
sonnet   n.十四行诗
sonyericsson   n.索尼愛立信通訊手機公司
soon   adv.不久，很快，早
soot   n.油烟，煤烟
soothe   v.安慰，使镇定
sophisticated   adj.复杂的，先进的
sophistication   n.世故
sore   adj.疼痛的，恼火的
sorrow   n.伤心，悲哀，忧患
sorrowful   adj.悲哀的，忧愁的
sorry   adj.难过的，遗憾的
sort   n.种类 v.分类，拣
soul   v.灵魂，心灵，人
sound   n.声，声音 v.听起来
soup   n.汤
sour   adj.酸的，不高兴的
source   n.来源，出处，源泉
south   n.南,南方 adj.南方的
southeast   n.东南(部)
southern   adj.南的，南方的
southward   adj.,adv.向南
southwest   n.西南(部)
souvenir   n.纪念品
sovereign   n.君主 adj.主权的
sovereignty   n.主权
sow   v.播种，散布 n.母猪
soy   n.酱油
space   n.空间，太空，空地
spacecraft   n.宇宙飞船
spaceship   n.太空船，宇宙飞船
spaceshuttle   n.航天飞机
spacious   adj.广阔的，宽敞的
spade   n.铲子，铁锹，黑桃
spain   n.西班牙
span   n.跨度；指距 v.跨越
spanish   adj.,n.西班牙人(的)
spare   v.腾出时间adj.备用的
spark   n.火花，火星
sparkle   v.发火花，闪耀
sparrow   n.麻雀
spatial   adj.空间的
speak   v.说话，发言，讲
speaker   n.说话者，发言人
spear   n.矛，枪
special   adj.特别的，专门的
specialist   n.专家
specialize   v.专攻，专门研究
specialized   adj.专业的，专门的
specially   adv.特地，专门地
specialty   n.专业，专长
species   n.物种，种类
specific   adj.特殊的，明确的
specification   n.规格，明细表
specify   v.详细说明，指定
specimen   n.标本，样本
spectacle   n.眼镜，场面，壮观
spectacular   adj.壮观的
spectator   n.观众，旁观者
spectrum   n.光谱
speculate   v.推测，投机
speculation   n.推测，投机
speculator   n.投机商
speech   n.演说，语言能力
speed   n.速度 v.飞驰
speedy   adj.快速的
spell   v.拼写，咒语
spelling   n.拼音，拼写
spend   v.花费，消耗
sphere   n.球体，范围，领域
spice   n.香料，调味品
spicy   adj.辛辣的
spider   n.蜘蛛
spill   v.溢出，流出
spin   v.自转，纺
spiral   adj.,n.螺旋(的)
spirit   n.精神，心灵 n.酒精
spiritual   adj.精神上的，心灵的
spit   v.吐，倾吐 n.唾液
spite   n.恶意，怨恨
splash   v.溅，泼
splendid   adj.辉煌的，灿烂的
split   v.劈，分割
spoil   v.损坏，宠坏
spokesman   n.发言人
sponge   n.海绵
sponsor   n.发起人，主办者
sponsorship   n.发起，主办
spontaneous   adj.自发的
spoon   n.汤匙
spoonful   adj.一匙的量
sport   v.运动，嬉戏
sportsman   n.运动员
sportsmanship   n.体育精神
spot   n.点，斑，污点，场所
sprain   v.,n.扭伤
spray   n.水雾 v.喷射
spread   v.伸开，散布，传播
spring   v.跳跃，萌芽 n.春季
sprinkle   v.洒，撒，不细雨
sprout   n.幼芽 v.出芽
spur   n.,v.刺激，鼓舞
spy   n.间谍
square   n.正方形，广场，平方
squash   v.压碎 n.果子汁
squat   v.蹲
squeeze   v.压，榨，挤
s. s.   n.(缩)轮船
squirrel   n.松鼠
stab   v.,n.刺，戳
stability   n.稳定性
stable   adj.稳固的，稳定的
stack   n.,v.推放，垛
stadium   n.露天运动场
staff   n.工作人员，棒子
stage   n.舞台，阶段 v.上演
stagger   v.蹒跚
stagnation   n.停滞
stain   n.污点，瑕疵 v.弄脏
stainless   adj.无瑕的，不锈的
stair   n.楼梯
staircase   n.扶手楼梯
stake   n.桩，赌注
stale   adj.陈旧的
stalk   n.主茎，叶柄
stall   n.厩，货摊
stammer   v.,n.口吃，结巴
stamp   n.邮票，图章 v.盖章
stand   v.站立，坐落，忍受
standard   n.标准 adj.标准的
standardize   v.标准化
standing   adj.常务的 n.地位
standpoint   n.立场，观点
standstill   n.停顿
staple   n.钉书钉，主要产品
stapler   n.钉书机
star   n.星 v.主演
stare   n.,v.凝视
start   v.开始，着手，发动
starting   n.出发，开始
startle   v.惊吓，使吃惊
starvation   n.饥饿
starve   v.挨饿，渴求
state   n.状态，国家，州
statement   n.声明，陈述
statesman   n.政治家，国务活动家
static   adj.静止的，静态的
station   n.站，台 v.驻扎
stationary   adj.固定的，稳定的
stationery   n.文具
statistical   adj.统计的
statistics   n.统计(学)
statue   n.雕像，铸像
status   n.形势，身分
statute   n.法令，章程，条例
stay   v.停留，暂住，保持
steadily   adv.稳固地，稳步地
steady   adj.平稳的，稳健的
steak   n.牛排，排骨
steal   v.偷窃
steam   n.汽，蒸汽 v.蒸
steamer   n.汽船
steel   n.钢
steep   adj.陡峭的
steer   v.驾驶，行驶
stem   n.茎
stencil   n.复写纸，蜡纸
step   n.脚步，台阶，步骤
stereo   n.立体声
sterling   adj.英镑的
stern   adj.严厉的，坚决的
stevedore   n.码头工人
stew   v.炖，煮 n.炖菜
steward   n.乘务员，男仆
stewardess   n.女乘务员，空姐
stick   n.枝，杆，手杖 v.扎
sticky   adj.黏的
stiff   adj.僵硬的，生硬的
still   adj.静止的 adv.仍旧
stillness   n.寂静，静止
stimulate   v.刺激，使兴奋
stimulation   n.刺激
sting   n.刺痛 v.刺，叮
stink   adj.臭的
stipulate   v.合同规定，约定
stipulation   n.规定
stir   v.搅拌，激起 n.骚动
stirring   adj.动人的
stitch   n.一针 v.缝合
stock   n.存货，股份 v.贮存
stocking   n.长袜
stomach   n.胃
stone   n.石头，石料，宝石
stony   adj.石头多的
stool   n.凳子
stoop   v.弯腰，屈从 n.俯身
stop   v.停止，终止 n.停止
storage   n.贮藏，货栈
store   n.商店 v.贮藏，储备
storey   n.楼层
storm   n.暴风雨，暴怒
stormy   adj.有暴风雨的
story   n.故事，小说，经历
stout   adj.肥胖的，结实的
stove   n.炉子，火炉
stow   v.装载，理舱
stowage   n.装载
straight   adj.直的 adv.笔直地
straightforward   adj.直爽的
straighten   v.弄直
strain   v.拉紧，扭伤，使紧张
strait   n.海峡
strand   n.(绳)股，缕
strange   adj.奇怪的，陌生的
stranger   n.新人，陌生人
strap   n.带，皮带
strategic   adj.战略的
strategy   n.战略，策略，计谋
straw   n.麦杆，稻草，吸管
strawberry   n.草莓
stray   v.迷路 adj.走失的
streak   n.纹理，条纹
stream   n.小溪，流
streamline   n.流线型 v.精简
street   n.大街
streetcar   n.有轨电车
strength   n.力气，力量，强度
strengthen   v.加强，巩固
stress   v.,n.强调，压力
stretch   v.伸展，拉长 n.伸展
strict   adj.严格的，精确的
strictly   adv.严格地，绝对
stride   adv.阔步走 n.阔步
strife   n.冲突，争斗
strike   v.打，攻击，罢工
striking   adj.引人注目的
string   n.细绳，弦，一串
strip   v.剥 n.窄条
stripe   n.条纹
strive   v.努力，奋斗
stroke   n.敲，笔划 v.抚摸
stroll   v.,n.散步，闲逛
stroller   n.散步者
strong   adj.强壮的，强烈的
strongly   adv.强烈地，强有力地
stronghold   n.堡垒，要塞
structural   adj.结构的，组织上的
structure   n.结构，构造，组织
struggle   v.,n.斗争，奋斗
stubborn   adj.顽固的，倔强的
student   n.学生，研究人员
studio   n.画室，工作间
study   v.,n.学习，研究
stuff   n.材料，东西 v.塞满
stuffy   adj.闷热的，不透气的
stumble   v.绊跌
stump   n.树桩，残茬
stupid   adj.愚蠢的，迟钝的
stupidity   n.愚蠢
sturdy   adj.健壮的
style   n.风格，时尚，作风
stylist   n.时装设计师
subdivide   v.细分，再分
subdue   v.战胜，征服
subject   n.题目，学科，主语
subjective   adj.主观的
subjunctive   adj.虚拟的
submarine   adj.海底的 n.潜水艇
submerge   v.浸没，淹没
submit   v.服从，呈交
subordinate   adj.下级的，辅助的
subordination   n.服从
subscribe   v.订购，订阅
subscription   n.预订，订购
subsequence   n.后果
subsequent   adj.以后的，后起的
subsequently   adv.后来，其后
subsidiary   adj.辅助的，次要的
substance   n.物质，实质
substantial   adj.可观的，实质的
substantiate   v.证实
substitute   n.,v.代替，代用品
substitution   n.代替
subtle   adj.敏锐的，微妙的
subtract   v.减去
subtraction   n.减法，减去
suburb   n.郊区，郊外
suburban   adj.郊区的
subway   n.地铁
succeed   v.成功，后继
success   n.成功
successful   adj.成功的
successfully   adv.成功地
succession   n.接连，继任
successive   adj.接连的，连续的
successor   n.继承人，继任者
such   adj.这样的，如此的
suck   v.吮，咂
sudden   adj.突然的，意外的
suddenly   adv.突然，忽然
suffer   v.遭受，受苦，忍受
suffering   n.苦难
suffice   v.足够，满足需要
sufficient   adj.充足的，充分的
sufficiently   adv.充分地，足够地
suffix   n.后缀
sugar   n.糖
suggest   v.建议，暗示
suggestion   n.建议，示意
suicide   n.自杀
suit   n.一身西服，起诉
suitable   adj.合适的，适宜的
suitcase   n.手提箱
suite   n.随员，一套(房间)
sullen   adj.板着脸的
sultry   adj.闷热的
sum   n.总数，会计 v.总结
summarize   v.概括，总结
summary   n.概要 adj.概括的
summer   n.夏季
summit   n.顶峰，最高点
summon   v.,n.召唤，召集
sun   n.太阳，阳光
sunburn   v.晒黑
sunday   n.星期日
sunflower   n.葵花
sunlight   n.阳光
sunny   adj.向阳的，晴朗的
sunrise   n.日出
sunset   n.日落
sunshine   n.日照，日光
super   adj.特级的，超级的
superb   adj.华丽的，超等的
superficial   adj.表面的，肤浅的
superinrtendent   n.管理人，负责人
superior   adj.优良的，上级的
superiority   n.优越(性)
supermarket   n.超级市场
supersede   v.代替
supersonic   adj.超音速的
superstition   n.迷信
superstitious   adj.迷信的
supervise   v.管理，监督，监考
supervision   n.监督
