a.d. (缩)公元
apprize v.通知
approach n.途径
appropriate v.拨给
approval n.同意，批准
approve v.赞成，批准
approximate adj.,v.近似，约略
approximately adv.近乎，大约
approximation n.近似值
april n.四月
apt adj.恰当的，易于..的
aptitude n.才智，天资
arab n.阿拉伯
arabian n.阿拉伯人，阿拉伯语
arabic adj.阿拉伯的
arbitrary adj.专横的，任意的
arbitrate v.仲裁
arbitration n.仲裁
arbitrator n.仲裁员
arc n.弧
arch n.拱门，弓形
archaeologist n.考古学家
archaeology n.考古学
architect n.建筑师
architecture n.建筑学
arctic adj.北极的
ardent adj.热心的，强烈的
arduous adj.艰巨的，努力的
area n.地区，面积，领域
arena n.竞技场
argue v.争论，辩论
argument n.争论，论点
arise v.起来，出现
aristocracy n.贵族阶层
aristocrat n.贵族
aristocratic adj.贵族的
arithmetic n.算术
arm v.武装
armchair n.手扶椅
armour n.盔甲，装甲
arms n.武器
army n.军队，陆军
around adv.在周围，大约
arouse v.唤醒，唤起
arrange v.整理，安排
arrangement n.安排，计划
array v.装扮，排列
arrear n.欠款
arrest v.逮捕，吸引
arrival n.到达，到货
arrive v.到达，达到
arrogance n.傲慢
arrogant adj.傲慢的
arrogantly adv.傲慢地
arrow n.箭，箭头
art n.艺术，技艺
article n.文章，物品，冠词
artificial adj.人造的，假的
artist n.艺术家
artistic n.艺术的
as prep.作为
ascend v.登，上升
ascertain v.查明，弄清
ascribe v.归于
asean n.(缩)东盟
ash n.灰，灰烬
ashamed adj.惭愧的，羞耻的
ashore adv.在岸上，上岸
ashtray n.烟灰缸
asia n.亚洲
asian n.亚洲人
aside adv.在旁边，搁在一边
ask v.问，要求，邀请
asleep adj.睡着的
aspect n.容貌，方面
aspirin n.阿斯匹林
ass n.驴，愚蠢的人
assassinate v.暗杀
assassination n.暗杀
assassinator n.暗杀者
assault v.袭击，攻击
assemble v.集合，装配
assembly n.集合，装配
assert v.断言，宣称
assertion n.断言
assess v.评定，估价
assessment n.估值，评价
assign v.分配，指定
assignment n.任务，作业
assist v.协助
assistance n.协助，辅助
assistant n.助手
associate adv.副的
associated adj.联合的
association n.协会，合营
associative adj.联想的
assorted adj.各种各样的
assortment n.花色品种
assume v.假定，担任
assumption n.假定，假装
assurance n.自信，保证
assure v.使..放心，向..保证
assured adj.感到放心的
astonish v.使惊讶
astonishment n.惊讶
astound v.使惊讶
astray adv.(信件)遗失、误传
astronaut n.宇宙飞行员
astronomer n.天文学家
astronomical adj.天文学的
astronomy n.天文学
at prep.在，处于，以
athlete n.田径运动员
athletic adj.田径的
atlantic n.,adj.大西洋(的)
atlas n.地图集
atmosphere n.大气，气氛
atmospheric adj.大气的，空气的
atom n.原子，微粒
atomic adj.原子的，原子能的
attach v.附着于，依恋
attachment n.依附，附件，爱慕
attack v.,n.进攻，侵袭
attain v.赢得，到达
attempt v.,n.尝试，企图
attend v.出席，照顾
attendance n.出勤(率)，出席
attendant n.随从，服务员
attention n.注意，关心
attentive adj.注意的，关心的
attentively adv.关心地
attic n.阁楼
attitude n.态度，看法
attorney n.辩护律师
attract v.吸引，引力
attraction adj.有吸引力的
attributable adj.归于...的
attribute n.属性
attribution n.属于
attributive adj.定语的，属性的
auction n.拍卖
audience n.听众，观众
auditorium n.礼堂
august n.八月
aunt n.伯(婶、姨、姑)母
aural adj.听觉的，耳的
auspice n.赞助，主办
australia n.澳大利亚
australian adj.澳大利亚的
author n.作者，创造者
authority n.权力，权威
authorization n.授权
authorize v.授权，批准
autobiography n.自传
automate v.自动化
automatic adj.自动的
automation n.自动化
automobile n.汽车
autonomous adj.自治的
autonomy n.自治
autumn n.秋天
auxiliary adj.辅助的，补助的
avail n.效用
availability n.可用性，可供货
available adj.可得到的
avenge v.报复
avenue n.林荫道，途径
average n.平均数
averagely adv.平均
aviation n.航空
avoid v.避免，逃避
await v.等候，等待
awake adj.醒的
awaken adj.醒着的
award n.奖，奖品
aware adj.知道的，意识到的
away adv.去，远离，在远处
awe n.威惧
awesome adj.可怕的
awful adj.令人畏惧的
awfully adv.可怕地，非常
awkward adj.笨拙的，不熟练的
awkwardly adv.笨拙地
awkwardness n.笨拙
ax n.斧子
axial adj.轴的，轴向的
axis n.轴，轴线，轴心
axle n.(轮)轴
